Province,AKP(%),CHP(%),DEM(%),MHP(%),YRP(%),IYIP(%),ZAFER(%)
Karaman,9.98,19.78,0.24,61.14,2.19,2.56,1.63
Aksaray,24.64,6.05,0.37,28.57,2.19,33.13,1.27
Nigde,33.31,25.16,-0.09,8.71,4.63,24.87,1.45
Adana,28.64,63.43,2.57,-8.06,2.13,5.68,1.89
Kayseri,33.34,13.17,0.75,-18.0,26.09,29.69,4.97
Yozgat,11.97,1.85,0.17,19.46,59.72,3.45,0.71
Ordu,36.14,4.51,-0.03,-5.43,13.1,48.71,1.01
Tokat,21.83,9.02,0.16,56.46,1.29,8.54,0.0
Sivas,32.53,10.81,0.06,46.24,3.29,1.2,1.6
Kahramanmaras,39.87,25.18,-0.13,-19.99,43.99,4.67,1.97
Osmaniye,-24.96,22.46,2.92,39.66,-0.2,43.37,5.21
Hatay,46.63,49.78,0.55,-10.27,2.24,2.41,1.71
Gaziantep,33.38,31.91,3.15,-7.93,21.73,7.77,3.41
Kilis,18.25,53.93,-0.19,16.15,3.13,7.26,1.33
Giresun,40.38,57.99,-0.09,-7.95,3.27,1.79,1.48
Gumushane,28.97,17.96,0.19,41.33,1.8,5.48,0.67
Bayburt,29.3,5.71,0.32,43.82,6.3,2.62,1.73
Trabzon,50.58,24.68,0.16,-7.42,11.41,12.82,2.19
Erzincan,13.52,27.67,0.14,47.97,2.23,2.15,1.85
Rize,52.03,17.37,0.24,-2.81,10.54,10.85,2.83
Erzurum,48.93,8.47,8.25,-19.29,-1.54,38.06,6.81
Artvin,43.13,52.67,0.23,-9.4,2.4,8.03,1.23
Ardahan,49.54,54.77,1.72,-11.55,0.64,2.44,0.0
Kars,-16.67,14.62,35.55,38.24,4.44,18.19,0.0
Malatya,47.04,45.74,0.16,-5.11,7.69,0.68,0.52
Adiyaman,16.67,51.79,-0.03,-6.07,25.71,5.04,0.27
Sanliurfa,24.04,1.44,7.85,-1.58,62.6,0.68,0.41
Tunceli,16.26,30.77,38.96,0.22,0.65,0.89,1.23
Elazig,27.18,17.3,2.25,6.63,27.25,6.47,1.37
Bingol,18.91,3.12,25.34,7.94,23.18,0.48,0.99
Igdir,49.04,4.11,49.11,-12.67,1.57,5.97,0.64
Agri,33.46,3.92,46.32,-0.29,5.6,2.25,1.96
Mus,13.03,1.54,39.47,-1.69,25.88,15.05,0.56
Diyarbakir,9.46,4.47,66.62,-0.43,4.99,0.57,0.69
Mardin,24.71,3.34,58.78,-0.62,4.66,1.18,0.73
Batman,26.38,2.39,70.78,-0.14,1.38,0.77,0.59
Van,22.24,3.71,55.98,-0.49,6.91,1.21,1.01
Bitlis,38.68,2.56,30.16,-1.01,15.59,2.45,1.36
Siirt,36.88,2.83,49.29,-0.39,3.05,1.38,2.16
Sirnak,64.49,4.97,26.7,-2.12,3.42,0.07,0.0
Hakkari,55.82,1.81,40.68,-1.55,0.58,1.08,0.97
Yalova,37.04,45.16,3.72,-0.93,3.24,2.12,2.6
Mersin,-18.67,75.5,-6.43,33.76,1.37,8.61,1.41
